Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-08-28,Given,2019,https://boxd.it/1k5ww7,5,,,2020-08-27
2020-08-29,The Matrix,1999,https://boxd.it/1kbarL,4,,,2020-08-28
2020-09-06,Whiplash,2014,https://boxd.it/1l1omJ,3,,,2020-09-05
2020-09-11,V for Vendetta,2005,https://boxd.it/1lApKn,5,,,2020-09-10
2020-09-11,The Godfather,1972,https://boxd.it/1lEUoF,4,,,2020-09-11
2020-09-19,Chungking Express,1994,https://boxd.it/1mp5Wb,4,,,2020-09-18
2020-10-07,10 Things I Hate About You,1999,https://boxd.it/1oimGX,4,,,2020-10-06
2020-10-12,Taxi Driver,1976,https://boxd.it/1oQdHF,3,,,2020-10-12
2020-10-12,Over the Garden Wall,2014,https://boxd.it/1oUpFz,5,Yes,,2020-10-12
2020-10-20,My Own Private Idaho,1991,https://boxd.it/1pGWab,4.5,,,2020-10-19
2020-10-24,Fallen Angels,1995,https://boxd.it/1q545L,5,,,2020-10-23
2020-10-27,Moonlight,2016,https://boxd.it/1qvrH1,5,Yes,,2020-10-27
2020-10-28,Blue Spring,2001,https://boxd.it/1qDdfD,4.5,,,2020-10-28
2020-11-05,The Panic in Needle Park,1971,https://boxd.it/1rymlf,4,,,2020-11-05
2020-11-12,Jane,2016,https://boxd.it/1seMC1,4,,,2020-11-12
2020-11-14,Grass,2018,https://boxd.it/1soKwZ,4,,,2020-11-13
2020-11-15,The Witch: Part 1. The Subversion,2018,https://boxd.it/1suoxN,3,,,2020-11-14
2020-11-16,Totally Fucked Up,1993,https://boxd.it/1sE2lP,4,,,2020-11-16
2021-02-27,Twittering Birds Never Fly: The Clouds Gather,2020,https://boxd.it/1GJaYB,3,,,2020-11-30
2020-12-25,American Murder: The Family Next Door,2020,https://boxd.it/1x0C33,2.5,,,2020-12-24
2021-04-29,Strangers from Hell,2019,https://boxd.it/1PlmaB,4,,,2020-12-28
2020-12-31,The Godfather,1972,https://boxd.it/1y3JHp,5,Yes,,2020-12-31
2021-01-02,Euphoria: Trouble Don't Last Always,2020,https://boxd.it/1yk7xP,,,,2021-01-01
2021-01-03,The Godfather: Part II,1974,https://boxd.it/1yEKYl,5,,,2021-01-02
2021-01-06,Dog Day Afternoon,1975,https://boxd.it/1zdhVH,5,,,2021-01-05
2021-01-07,Paris Is Burning,1990,https://boxd.it/1zlcud,5,,,2021-01-06
2021-01-07,Serpico,1973,https://boxd.it/1zmsN3,4.5,,,2021-01-06
2021-01-08,Oldboy,2003,https://boxd.it/1zr0XT,5,,,2021-01-07
2021-01-11,Sisters,2001,https://boxd.it/1zUtFx,3,,,2021-01-10
2021-01-13,Time to Hunt,2020,https://boxd.it/1AlzuJ,4,,,2021-01-11
2021-01-25,The Cranes Are Flying,1957,https://boxd.it/1C78tT,5,,,2021-01-24
2021-01-26,Circus,1936,https://boxd.it/1CfOod,3,,,2021-01-25
2021-01-26,Boys,2014,https://boxd.it/1CgCYb,3.5,,,2021-01-25
2021-01-27,But What If This Is Love?,1961,https://boxd.it/1CmDmp,3,,,2021-01-26
2021-01-27,The White Crow,2018,https://boxd.it/1Co7xT,2.5,,,2021-01-26
